Timestamp,Log_Content,drain_template,named_template,parameters
Jun 10 04:02:23,combo xinetd[2003]: file descriptor of service comsat has been closed,combo xinetd[2003]: file descriptor of service comsat has been closed,combo xinetd<pid>: file descriptor of service comsat has been closed,"{""pid"": ""2003""}"
Jun 10 04:02:23,combo xinetd[2003]: select reported EBADF but no bad file descriptors were found,combo xinetd[2003]: select reported EBADF but no bad file descriptors were found,combo xinetd<pid>: select reported EBADF but no bad file descriptors were found,"{""pid"": ""2003""}"
Jun 10 04:03:01,combo su(pam_unix)[5120]: session opened for user cyrus by (uid=0),combo <*> session opened for user <*> by (uid=0),combo su(pam_unix)<pid>: session opened for user cyrus by (uid=0),"{""pid"": ""5120""}"
Jun 10 04:03:01,combo su(pam_unix)[5120]: session closed for user cyrus,combo <*> session closed for user <*>,combo su(pam_unix)<pid>: session closed for user cyrus,"{""pid"": ""5120""}"
Jun 10 04:09:15,combo su(pam_unix)[5493]: session opened for user news by (uid=0),combo <*> session opened for user <*> by (uid=0),combo su(pam_unix)<pid>: session opened for user news by (uid=0),"{""pid"": ""5493""}"
Jun 10 04:09:16,combo su(pam_unix)[5493]: session closed for user news,combo <*> session closed for user <*>,combo su(pam_unix)<pid>: session closed for user news,"{""pid"": ""5493""}"
Jun 10 11:32:00,combo sshd:  succeeded,combo sshd: succeeded,combo sshd: succeeded,{}
Jun 10 11:32:00,combo xinetd: xinetd startup succeeded,combo <*> <*> startup succeeded,combo xinetd: xinetd startup succeeded,{}
Jun 10 11:32:02,combo xinetd[2034]: No such internal service: services/stream - DISABLING,combo <*> No such internal service: services/stream - DISABLING,combo <pid> No such internal service: services/stream - DISABLING,"{""pid"": ""2034""}"
Jun 10 11:32:03,combo xinetd[2034]: bind failed (Address already in use (errno = 98)). service = telnet,combo <*> bind failed (Address already in use (errno = 98)). service = telnet,combo <pid> bind failed (Address already in use (errno = 98)). service = telnet,"{""pid"": ""2034""}"
Jun 10 11:32:03,combo xinetd[2034]: Service telnet failed to start and is deactivated.,combo <*> Service telnet failed to start and is deactivated.,combo <pid> Service telnet failed to start and is deactivated.,"{""pid"": ""2034""}"
Jun 10 11:32:03,combo xinetd[2034]: xinetd Version 2.3.13 started with libwrap loadavg options compiled in.,combo <*> xinetd Version 2.3.13 started with libwrap loadavg options compiled in.,combo <pid> xinetd Version 2.3.13 started with libwrap loadavg options compiled in.,"{""pid"": ""2034""}"
Jun 10 11:32:03,combo xinetd[2034]: Started working: 30 available services,combo <*> Started working: 30 available services,combo <pid> Started working: 30 available services,"{""pid"": ""2034""}"
Jun 10 11:32:07,combo su(pam_unix)[2103]: session opened for user htt by (uid=0),combo <*> session opened for user <*> by (uid=0),combo su(pam_unix)<pid>: session opened for user htt by (uid=0),"{""pid"": ""2103""}"
Jun 10 11:32:07,combo su(pam_unix)[2103]: session closed for user htt,combo <*> session closed for user <*>,combo su(pam_unix)<pid>: session closed for user htt,"{""pid"": ""2103""}"
Jun 10 11:32:36,combo snmpd: snmpd startup succeeded,combo <*> <*> startup succeeded,combo snmpd: snmpd startup succeeded,{}
Jun 10 11:32:37,combo snmpd[2318]: NET-SNMP version 5.1.1,combo <*> NET-SNMP version 5.1.1,combo <pid> NET-SNMP version 5.1.1,"{""pid"": ""2318""}"
Jun 10 17:16:34,combo sshd(pam_unix)[3353]: check pass; user unknown,combo sshd(pam_unix)[3353]: check pass; user unknown,combo sshd(pam_unix)<pid>: check pass; user unknown,"{""pid"": ""3353""}"
Jun 11 03:28:22,combo ftpd[4301]: connection from 209.184.7.130 () at Sat Jun 11 03:28:22 2005,combo ftpd[4301]: connection from 209.184.7.130 () at Sat Jun 11 03:28:22 2005,combo ftpd<pid>: connection from <ip> () at Sat Jun 11 03:28:22 2005,"{""pid"": ""4301"", ""ip"": ""209.184.7.130""}"
Jun 11 03:28:22,combo ftpd[4305]: connection from 209.184.7.130 () at Sat Jun 11 03:28:22 2005,combo <*> connection from 209.184.7.130 () at Sat Jun 11 03:28:22 2005,combo ftpd<pid>: connection from <ip> () at Sat Jun 11 03:28:22 2005,"{""pid"": ""4305"", ""ip"": ""209.184.7.130""}"
Jun 11 03:28:22,combo ftpd[4304]: connection from 209.184.7.130 () at Sat Jun 11 03:28:22 2005,combo <*> connection from 209.184.7.130 () at Sat Jun 11 03:28:22 2005,combo ftpd<pid>: connection from <ip> () at Sat Jun 11 03:28:22 2005,"{""pid"": ""4304"", ""ip"": ""209.184.7.130""}"
Jun 11 03:28:22,combo ftpd[4308]: connection from 209.184.7.130 () at Sat Jun 11 03:28:22 2005,combo <*> connection from 209.184.7.130 () at Sat Jun 11 03:28:22 2005,combo ftpd<pid>: connection from <ip> () at Sat Jun 11 03:28:22 2005,"{""pid"": ""4308"", ""ip"": ""209.184.7.130""}"
Jun 11 03:28:22,combo ftpd[4303]: connection from 209.184.7.130 () at Sat Jun 11 03:28:22 2005,combo <*> connection from 209.184.7.130 () at Sat Jun 11 03:28:22 2005,combo ftpd<pid>: connection from <ip> () at Sat Jun 11 03:28:22 2005,"{""pid"": ""4303"", ""ip"": ""209.184.7.130""}"
Jun 11 03:28:22,combo ftpd[4306]: connection from 209.184.7.130 () at Sat Jun 11 03:28:22 2005,combo <*> connection from 209.184.7.130 () at Sat Jun 11 03:28:22 2005,combo ftpd<pid>: connection from <ip> () at Sat Jun 11 03:28:22 2005,"{""pid"": ""4306"", ""ip"": ""209.184.7.130""}"
Jun 11 03:28:22,combo ftpd[4302]: connection from 209.184.7.130 () at Sat Jun 11 03:28:22 2005,combo <*> connection from 209.184.7.130 () at Sat Jun 11 03:28:22 2005,combo ftpd<pid>: connection from <ip> () at Sat Jun 11 03:28:22 2005,"{""pid"": ""4302"", ""ip"": ""209.184.7.130""}"
Jun 11 03:28:22,combo ftpd[4307]: connection from 209.184.7.130 () at Sat Jun 11 03:28:22 2005,combo <*> connection from 209.184.7.130 () at Sat Jun 11 03:28:22 2005,combo ftpd<pid>: connection from <ip> () at Sat Jun 11 03:28:22 2005,"{""pid"": ""4307"", ""ip"": ""209.184.7.130""}"
Jun 11 03:28:23,combo ftpd[4309]: connection from 209.184.7.130 () at Sat Jun 11 03:28:23 2005,combo <*> connection from 209.184.7.130 () at Sat Jun 11 <*> 2005,combo <pid> connection from 209.184.7.130 () at Sat Jun 11 <ip> 2005,"{""pid"": ""4309"", ""ip"": ""209.184.7.130""}"
Jun 11 03:28:23,combo ftpd[4310]: connection from 209.184.7.130 () at Sat Jun 11 03:28:23 2005,combo <*> connection from 209.184.7.130 () at Sat Jun 11 <*> 2005,combo <pid> connection from 209.184.7.130 () at Sat Jun 11 <ip> 2005,"{""pid"": ""4310"", ""ip"": ""209.184.7.130""}"
Jun 11 03:28:23,combo ftpd[4311]: connection from 209.184.7.130 () at Sat Jun 11 03:28:23 2005,combo <*> connection from 209.184.7.130 () at Sat Jun 11 <*> 2005,combo <pid> connection from 209.184.7.130 () at Sat Jun 11 <ip> 2005,"{""pid"": ""4311"", ""ip"": ""209.184.7.130""}"
Jun 11 03:28:23,combo ftpd[4312]: connection from 209.184.7.130 () at Sat Jun 11 03:28:23 2005,combo <*> connection from 209.184.7.130 () at Sat Jun 11 <*> 2005,combo <pid> connection from 209.184.7.130 () at Sat Jun 11 <ip> 2005,"{""pid"": ""4312"", ""ip"": ""209.184.7.130""}"
Jun 11 03:28:23,combo ftpd[4313]: connection from 209.184.7.130 () at Sat Jun 11 03:28:23 2005,combo <*> connection from 209.184.7.130 () at Sat Jun 11 <*> 2005,combo <pid> connection from 209.184.7.130 () at Sat Jun 11 <ip> 2005,"{""pid"": ""4313"", ""ip"": ""209.184.7.130""}"
Jun 11 03:28:23,combo ftpd[4314]: connection from 209.184.7.130 () at Sat Jun 11 03:28:23 2005,combo <*> connection from 209.184.7.130 () at Sat Jun 11 <*> 2005,combo <pid> connection from 209.184.7.130 () at Sat Jun 11 <ip> 2005,"{""pid"": ""4314"", ""ip"": ""209.184.7.130""}"
Jun 11 03:28:23,combo ftpd[4315]: connection from 209.184.7.130 () at Sat Jun 11 03:28:23 2005,combo <*> connection from 209.184.7.130 () at Sat Jun 11 <*> 2005,combo <pid> connection from 209.184.7.130 () at Sat Jun 11 <ip> 2005,"{""pid"": ""4315"", ""ip"": ""209.184.7.130""}"
Jun 11 03:28:23,combo ftpd[4317]: connection from 209.184.7.130 () at Sat Jun 11 03:28:23 2005,combo <*> connection from 209.184.7.130 () at Sat Jun 11 <*> 2005,combo <pid> connection from 209.184.7.130 () at Sat Jun 11 <ip> 2005,"{""pid"": ""4317"", ""ip"": ""209.184.7.130""}"
Jun 11 03:28:23,combo ftpd[4318]: connection from 209.184.7.130 () at Sat Jun 11 03:28:23 2005,combo <*> connection from 209.184.7.130 () at Sat Jun 11 <*> 2005,combo <pid> connection from 209.184.7.130 () at Sat Jun 11 <ip> 2005,"{""pid"": ""4318"", ""ip"": ""209.184.7.130""}"
Jun 11 03:28:23,combo ftpd[4319]: connection from 209.184.7.130 () at Sat Jun 11 03:28:23 2005,combo <*> connection from 209.184.7.130 () at Sat Jun 11 <*> 2005,combo <pid> connection from 209.184.7.130 () at Sat Jun 11 <ip> 2005,"{""pid"": ""4319"", ""ip"": ""209.184.7.130""}"
Jun 11 03:28:23,combo ftpd[4316]: connection from 209.184.7.130 () at Sat Jun 11 03:28:23 2005,combo <*> connection from 209.184.7.130 () at Sat Jun 11 <*> 2005,combo <pid> connection from 209.184.7.130 () at Sat Jun 11 <ip> 2005,"{""pid"": ""4316"", ""ip"": ""209.184.7.130""}"
Jun 11 03:28:23,combo ftpd[4320]: connection from 209.184.7.130 () at Sat Jun 11 03:28:23 2005,combo <*> connection from 209.184.7.130 () at Sat Jun 11 <*> 2005,combo <pid> connection from 209.184.7.130 () at Sat Jun 11 <ip> 2005,"{""pid"": ""4320"", ""ip"": ""209.184.7.130""}"
Jun 11 03:28:24,combo ftpd[4321]: connection from 209.184.7.130 () at Sat Jun 11 03:28:24 2005,combo <*> connection from 209.184.7.130 () at Sat Jun 11 <*> 2005,combo <pid> connection from 209.184.7.130 () at Sat Jun 11 <ip> 2005,"{""pid"": ""4321"", ""ip"": ""209.184.7.130""}"
Jun 11 03:28:24,combo ftpd[4322]: connection from 209.184.7.130 () at Sat Jun 11 03:28:24 2005,combo <*> connection from 209.184.7.130 () at Sat Jun 11 <*> 2005,combo <pid> connection from 209.184.7.130 () at Sat Jun 11 <ip> 2005,"{""pid"": ""4322"", ""ip"": ""209.184.7.130""}"
Jun 11 03:28:25,combo ftpd[4323]: connection from 209.184.7.130 () at Sat Jun 11 03:28:25 2005,combo <*> connection from 209.184.7.130 () at Sat Jun 11 <*> 2005,combo <pid> connection from 209.184.7.130 () at Sat Jun 11 <ip> 2005,"{""pid"": ""4323"", ""ip"": ""209.184.7.130""}"
Jun 11 04:02:32,combo xinetd[2034]: file descriptor of service comsat has been closed,combo <*> file descriptor of service comsat has been closed,combo <pid> file descriptor of service comsat has been closed,"{""pid"": ""2034""}"
Jun 11 04:02:32,combo xinetd[2034]: select reported EBADF but no bad file descriptors were found,combo <*> select reported EBADF but no bad file descriptors were found,combo <pid> select reported EBADF but no bad file descriptors were found,"{""pid"": ""2034""}"
Jun 11 04:03:18,combo su(pam_unix)[4718]: session opened for user cyrus by (uid=0),combo <*> session opened for user <*> by (uid=0),combo su(pam_unix)<pid>: session opened for user cyrus by (uid=0),"{""pid"": ""4718""}"
Jun 11 04:03:19,combo su(pam_unix)[4718]: session closed for user cyrus,combo <*> session closed for user <*>,combo su(pam_unix)<pid>: session closed for user cyrus,"{""pid"": ""4718""}"
Jun 11 04:09:52,combo su(pam_unix)[5961]: session opened for user news by (uid=0),combo <*> session opened for user <*> by (uid=0),combo su(pam_unix)<pid>: session opened for user news by (uid=0),"{""pid"": ""5961""}"
Jun 11 04:09:53,combo su(pam_unix)[5961]: session closed for user news,combo <*> session closed for user <*>,combo su(pam_unix)<pid>: session closed for user news,"{""pid"": ""5961""}"
Jun 11 09:45:45,combo sshd(pam_unix)[6472]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=unknown.sagonet.net  user=root,combo sshd(pam_unix)[6472]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=unknown.sagonet.net user=root,combo sshd(pam_unix)<pid>: authentication failure; logname= uid=0 euid=0 tty=NODEVssh r<user> <rhost>  <user>,"{""pid"": ""6472"", ""rhost"": ""unknown.sagonet.net"", ""user"": """"}"
Jun 11 09:45:55,combo sshd(pam_unix)[6474]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=unknown.sagonet.net  user=root,combo <*> authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=unknown.sagonet.net user=root,combo sshd(pam_unix)<pid>: authentication failure; logname= uid=0 euid=0 tty=NODEVssh r<user> <rhost>  <user>,"{""pid"": ""6474"", ""rhost"": ""unknown.sagonet.net"", ""user"": """"}"
Jun 11 09:45:58,combo sshd(pam_unix)[6476]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=unknown.sagonet.net  user=root,combo <*> authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=unknown.sagonet.net user=root,combo sshd(pam_unix)<pid>: authentication failure; logname= uid=0 euid=0 tty=NODEVssh r<user> <rhost>  <user>,"{""pid"": ""6476"", ""rhost"": ""unknown.sagonet.net"", ""user"": """"}"
Jun 11 09:46:01,combo sshd(pam_unix)[6478]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=unknown.sagonet.net  user=root,combo <*> authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=unknown.sagonet.net user=root,combo sshd(pam_unix)<pid>: authentication failure; logname= uid=0 euid=0 tty=NODEVssh r<user> <rhost>  <user>,"{""pid"": ""6478"", ""rhost"": ""unknown.sagonet.net"", ""user"": """"}"
Jun 11 09:46:05,combo sshd(pam_unix)[6480]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=unknown.sagonet.net  user=root,combo <*> authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=unknown.sagonet.net user=root,combo sshd(pam_unix)<pid>: authentication failure; logname= uid=0 euid=0 tty=NODEVssh r<user> <rhost>  <user>,"{""pid"": ""6480"", ""rhost"": ""unknown.sagonet.net"", ""user"": """"}"
Jun 11 09:46:08,combo sshd(pam_unix)[6482]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=unknown.sagonet.net  user=root,combo <*> authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=unknown.sagonet.net user=root,combo sshd(pam_unix)<pid>: authentication failure; logname= uid=0 euid=0 tty=NODEVssh r<user> <rhost>  <user>,"{""pid"": ""6482"", ""rhost"": ""unknown.sagonet.net"", ""user"": """"}"
Jun 11 09:46:11,combo sshd(pam_unix)[6484]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=unknown.sagonet.net  user=root,combo <*> authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=unknown.sagonet.net user=root,combo sshd(pam_unix)<pid>: authentication failure; logname= uid=0 euid=0 tty=NODEVssh r<user> <rhost>  <user>,"{""pid"": ""6484"", ""rhost"": ""unknown.sagonet.net"", ""user"": """"}"
Jun 11 09:46:15,combo sshd(pam_unix)[6486]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=unknown.sagonet.net  user=root,combo <*> authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=unknown.sagonet.net user=root,combo sshd(pam_unix)<pid>: authentication failure; logname= uid=0 euid=0 tty=NODEVssh r<user> <rhost>  <user>,"{""pid"": ""6486"", ""rhost"": ""unknown.sagonet.net"", ""user"": """"}"
Jun 11 09:46:18,combo sshd(pam_unix)[6488]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=unknown.sagonet.net  user=root,combo <*> authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=unknown.sagonet.net user=root,combo sshd(pam_unix)<pid>: authentication failure; logname= uid=0 euid=0 tty=NODEVssh r<user> <rhost>  <user>,"{""pid"": ""6488"", ""rhost"": ""unknown.sagonet.net"", ""user"": """"}"
Jun 11 09:46:21,combo sshd(pam_unix)[6490]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=unknown.sagonet.net  user=root,combo <*> authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=unknown.sagonet.net user=root,combo sshd(pam_unix)<pid>: authentication failure; logname= uid=0 euid=0 tty=NODEVssh r<user> <rhost>  <user>,"{""pid"": ""6490"", ""rhost"": ""unknown.sagonet.net"", ""user"": """"}"
Jun 11 09:46:25,combo sshd(pam_unix)[6492]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=unknown.sagonet.net  user=root,combo <*> authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=unknown.sagonet.net user=root,combo sshd(pam_unix)<pid>: authentication failure; logname= uid=0 euid=0 tty=NODEVssh r<user> <rhost>  <user>,"{""pid"": ""6492"", ""rhost"": ""unknown.sagonet.net"", ""user"": """"}"
Jun 11 09:46:28,combo sshd(pam_unix)[6494]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=unknown.sagonet.net  user=root,combo <*> authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=unknown.sagonet.net user=root,combo sshd(pam_unix)<pid>: authentication failure; logname= uid=0 euid=0 tty=NODEVssh r<user> <rhost>  <user>,"{""pid"": ""6494"", ""rhost"": ""unknown.sagonet.net"", ""user"": """"}"
Jun 11 09:46:31,combo sshd(pam_unix)[6496]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=unknown.sagonet.net  user=root,combo <*> authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=unknown.sagonet.net user=root,combo sshd(pam_unix)<pid>: authentication failure; logname= uid=0 euid=0 tty=NODEVssh r<user> <rhost>  <user>,"{""pid"": ""6496"", ""rhost"": ""unknown.sagonet.net"", ""user"": """"}"
Jun 11 09:46:34,combo sshd(pam_unix)[6498]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=unknown.sagonet.net  user=root,combo <*> authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=unknown.sagonet.net user=root,combo sshd(pam_unix)<pid>: authentication failure; logname= uid=0 euid=0 tty=NODEVssh r<user> <rhost>  <user>,"{""pid"": ""6498"", ""rhost"": ""unknown.sagonet.net"", ""user"": """"}"
Jun 11 09:46:35,combo sshd(pam_unix)[6500]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=unknown.sagonet.net  user=root,combo <*> authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=unknown.sagonet.net user=root,combo sshd(pam_unix)<pid>: authentication failure; logname= uid=0 euid=0 tty=NODEVssh r<user> <rhost>  <user>,"{""pid"": ""6500"", ""rhost"": ""unknown.sagonet.net"", ""user"": """"}"
Jun 11 09:46:38,combo sshd(pam_unix)[6502]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=unknown.sagonet.net  user=root,combo <*> authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=unknown.sagonet.net user=root,combo sshd(pam_unix)<pid>: authentication failure; logname= uid=0 euid=0 tty=NODEVssh r<user> <rhost>  <user>,"{""pid"": ""6502"", ""rhost"": ""unknown.sagonet.net"", ""user"": """"}"
Jun 11 09:46:38,combo sshd(pam_unix)[6504]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=unknown.sagonet.net  user=root,combo <*> authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=unknown.sagonet.net user=root,combo sshd(pam_unix)<pid>: authentication failure; logname= uid=0 euid=0 tty=NODEVssh r<user> <rhost>  <user>,"{""pid"": ""6504"", ""rhost"": ""unknown.sagonet.net"", ""user"": """"}"
Jun 11 09:46:41,combo sshd(pam_unix)[6506]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=unknown.sagonet.net  user=root,combo <*> authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=unknown.sagonet.net user=root,combo sshd(pam_unix)<pid>: authentication failure; logname= uid=0 euid=0 tty=NODEVssh r<user> <rhost>  <user>,"{""pid"": ""6506"", ""rhost"": ""unknown.sagonet.net"", ""user"": """"}"
Jun 11 09:46:44,combo sshd(pam_unix)[6508]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=unknown.sagonet.net  user=root,combo <*> authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=unknown.sagonet.net user=root,combo sshd(pam_unix)<pid>: authentication failure; logname= uid=0 euid=0 tty=NODEVssh r<user> <rhost>  <user>,"{""pid"": ""6508"", ""rhost"": ""unknown.sagonet.net"", ""user"": """"}"
Jun 11 09:46:45,combo sshd(pam_unix)[6510]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=unknown.sagonet.net  user=root,combo <*> authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=unknown.sagonet.net user=root,combo sshd(pam_unix)<pid>: authentication failure; logname= uid=0 euid=0 tty=NODEVssh r<user> <rhost>  <user>,"{""pid"": ""6510"", ""rhost"": ""unknown.sagonet.net"", ""user"": """"}"
Jun 11 09:46:47,combo sshd(pam_unix)[6512]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=unknown.sagonet.net  user=root,combo <*> authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=unknown.sagonet.net user=root,combo sshd(pam_unix)<pid>: authentication failure; logname= uid=0 euid=0 tty=NODEVssh r<user> <rhost>  <user>,"{""pid"": ""6512"", ""rhost"": ""unknown.sagonet.net"", ""user"": """"}"
Jun 11 09:46:48,combo sshd(pam_unix)[6514]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=unknown.sagonet.net  user=root,combo <*> authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=unknown.sagonet.net user=root,combo sshd(pam_unix)<pid>: authentication failure; logname= uid=0 euid=0 tty=NODEVssh r<user> <rhost>  <user>,"{""pid"": ""6514"", ""rhost"": ""unknown.sagonet.net"", ""user"": """"}"
Jun 11 09:46:48,combo sshd(pam_unix)[6516]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=unknown.sagonet.net  user=root,combo <*> authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=unknown.sagonet.net user=root,combo sshd(pam_unix)<pid>: authentication failure; logname= uid=0 euid=0 tty=NODEVssh r<user> <rhost>  <user>,"{""pid"": ""6516"", ""rhost"": ""unknown.sagonet.net"", ""user"": """"}"
Jun 12 00:07:45,combo ftpd[7722]: connection from 222.33.90.199 () at Sun Jun 12 00:07:45 2005,combo <*> connection from <*> () at <*> Jun <*> <*> 2005,combo ftpd<pid>: connection from <ip> () at Sun Jun 12 00:07:45 2005,"{""pid"": ""7722"", ""ip"": ""222.33.90.199""}"
Jun 12 00:07:45,combo ftpd[7724]: connection from 222.33.90.199 () at Sun Jun 12 00:07:45 2005,combo <*> connection from <*> () at <*> Jun <*> <*> 2005,combo ftpd<pid>: connection from <ip> () at Sun Jun 12 00:07:45 2005,"{""pid"": ""7724"", ""ip"": ""222.33.90.199""}"
Jun 12 00:07:45,combo ftpd[7725]: connection from 222.33.90.199 () at Sun Jun 12 00:07:45 2005,combo <*> connection from <*> () at <*> Jun <*> <*> 2005,combo ftpd<pid>: connection from <ip> () at Sun Jun 12 00:07:45 2005,"{""pid"": ""7725"", ""ip"": ""222.33.90.199""}"
Jun 12 00:07:45,combo ftpd[7723]: connection from 222.33.90.199 () at Sun Jun 12 00:07:45 2005,combo <*> connection from <*> () at <*> Jun <*> <*> 2005,combo ftpd<pid>: connection from <ip> () at Sun Jun 12 00:07:45 2005,"{""pid"": ""7723"", ""ip"": ""222.33.90.199""}"
Jun 12 00:07:45,combo ftpd[7726]: connection from 222.33.90.199 () at Sun Jun 12 00:07:45 2005,combo <*> connection from <*> () at <*> Jun <*> <*> 2005,combo ftpd<pid>: connection from <ip> () at Sun Jun 12 00:07:45 2005,"{""pid"": ""7726"", ""ip"": ""222.33.90.199""}"
Jun 12 00:07:45,combo ftpd[7718]: connection from 222.33.90.199 () at Sun Jun 12 00:07:45 2005,combo <*> connection from <*> () at <*> Jun <*> <*> 2005,combo ftpd<pid>: connection from <ip> () at Sun Jun 12 00:07:45 2005,"{""pid"": ""7718"", ""ip"": ""222.33.90.199""}"
Jun 12 00:07:45,combo ftpd[7721]: connection from 222.33.90.199 () at Sun Jun 12 00:07:45 2005,combo <*> connection from <*> () at <*> Jun <*> <*> 2005,combo ftpd<pid>: connection from <ip> () at Sun Jun 12 00:07:45 2005,"{""pid"": ""7721"", ""ip"": ""222.33.90.199""}"
Jun 12 00:07:45,combo ftpd[7719]: connection from 222.33.90.199 () at Sun Jun 12 00:07:45 2005,combo <*> connection from <*> () at <*> Jun <*> <*> 2005,combo ftpd<pid>: connection from <ip> () at Sun Jun 12 00:07:45 2005,"{""pid"": ""7719"", ""ip"": ""222.33.90.199""}"
